id	LP-001	LP-002	LP-005	LP-006	LP-007	LP-008	LP-009	LP-010	LP-011	LP-012	LP-013	LP-014	LP-015	LP-016	LP-017	LP-018	LP-019	LP-020	LP-021	LP-022	LP-023	LP-024	LP-025	LP-026	LP-027	LP-029	LP-030	LP-031	LP-033	LP-034	LP-035	LP-036	LP-037	LP-038	LP-039	LP-040	LP-041	LP-043	LP-044	LP-045	LP-046	LP-047	LP-048	LP-049	LP-050	LP-051	LP-053	LP-054	LP-055	LP-056	LP-057	LP-058	LP-059	LP-060	LP-061	LP-062	LP-063	LP-064	LP-065	LP-066	LP-067	LP-069	LP-070	LP-071	LP-072	LP-073	LP-074	LP-075	LP-076	LP-077	LP-078	LP-079	LP-080	LP-081	LP-082	LP-083	LP-084	LP-085	LP-086	LP-087	LP-088	LP-090	LP-091	LP-092	LP-093	LP-094	LP-095	LP-096	LP-097	LP-098	LP-100	LP-101	LP-103	LP-105
genoPC1	0.0574297	0.0685621	0.04044	-0.248006	-0.230291	0.0225955	-0.221448	0.0201698	0.0567317	-0.244073	0.0422221	-0.217722	0.0117572	0.0798911	0.0277911	-0.243873	-0.246449	-0.0248842	0.0392146	0.0503315	0.0518281	-0.218641	0.0494066	-0.0364325	0.0444652	-0.225794	0.0530636	0.0595753	0.0424984	0.0357622	0.020729	0.0392353	-0.230047	0.0497475	0.0349924	0.0460804	0.0475968	0.0473228	0.0746072	0.0300815	0.0488308	0.0463759	0.0543315	-0.0292211	0.0506152	0.0735628	-0.220379	0.0616334	0.015402	-0.0835695	-0.00884599	0.0414587	0.0431275	0.0727321	-0.0826238	0.0564087	0.0503685	0.0310493	0.0691074	-0.00482337	0.0472906	-0.00486303	-0.243608	0.0216167	0.0629397	0.0268828	0.0445691	0.0537134	0.0703084	0.0594399	0.055773	0.0652082	0.0303563	-0.244497	0.0552521	0.0219987	0.0296578	0.0489092	-0.12282	0.0675746	0.0459075	0.000218688	0.0528963	0.0460217	0.038317	0.0398027	0.0720568	0.0036726	0.0309014	0.0417189	0.0452904	0.0663237	0.0449143	-0.231798
genoPC2	0.00981042	0.0127225	0.0125397	0.0534993	0.0554415	0.010986	0.0527031	0.0211293	0.00949238	0.0521262	0.00872087	0.0521719	0.0080426	0.00829376	0.0133608	0.0527831	0.0515093	0.0213987	0.00942418	0.00732147	0.0120191	0.0563286	0.0135633	0.0253923	0.0117056	0.0539468	0.00753232	0.00906941	0.0212857	0.0109935	0.0171602	0.00575693	0.0537961	0.0127032	0.0148942	0.00699602	0.000912679	0.0139579	0.00792299	0.018204	0.00428574	0.0155214	0.0105433	0.0267806	0.0084264	0.0100836	0.055529	0.0091275	0.020137	-0.571415	0.0103347	0.00692382	0.00537972	0.00841919	-0.574751	0.00927935	0.00813285	0.00707832	0.00377993	0.00935271	0.0107144	0.0107031	0.0501932	0.00455502	0.00631722	0.00818806	0.00962092	0.00961987	0.0038486	0.000977631	0.00668011	0.00966867	0.0109791	0.0517543	0.00839808	0.0129645	0.0120879	0.0134316	0.0382355	0.0110622	0.0118729	0.025168	0.00668459	0.00847634	0.00881155	0.00429769	0.00408695	0.0145305	0.0146886	0.00428436	0.00710663	0.00653335	0.0142809	0.0472575
genoPC3	-0.0164908	-0.0242606	-0.0162695	-0.00228593	0.000546455	-0.0117006	0.000165788	-0.0169023	-0.0143692	-0.00309015	-0.0140094	-0.000816586	-0.0156856	-0.0186229	-0.0105375	-0.000843649	-0.00363858	-0.0144233	-0.0275019	-0.0157676	-0.00995137	-0.00146935	-0.00533976	-0.00659628	-0.0140353	0.00105479	-0.00014549	-0.0144065	0.69864	-0.0178542	-0.0147882	-0.00736093	-0.000850048	0.000102028	-0.018293	-0.0180473	-0.0106817	-0.0229522	-0.0176979	-0.0112359	-0.0246051	-0.0201617	-0.0185841	-0.0106473	-0.0239946	-0.0185856	-0.00300156	-0.0156209	-0.0220847	0.0086923	-0.022657	-0.0112794	-0.0194718	-0.0139567	0.00869941	-0.013031	-0.0228683	-0.0228984	-0.0146916	-0.0232825	-0.0204288	-0.0157537	-0.00199959	-0.00846618	-0.0196912	-0.0193269	-0.0132219	-0.0144249	-0.022145	-0.0128826	-0.0184272	-0.0193814	-0.0215037	0.000851403	-0.0198471	-0.00866581	-0.0130764	-0.02274	-0.00143833	-0.0188692	-0.0187972	-0.0151375	-0.0276474	-0.0139935	-0.0208863	-0.0256763	-0.0105176	-0.0129923	-0.0191221	-0.0256354	-0.0113687	-0.0197613	-0.0154251	-0.00134305
SV1	-0.0654279059934927	-0.0372635454555728	0.0666206930774522	-0.0530599431255708	0.0836146585360835	0.00433049560585043	-0.0590070770048849	-0.0906225702736442	-0.00158498022418087	-0.0239673071466978	-0.0424763166366473	-0.070889828248893	0.0388365417187805	0.0708092885056978	-0.0338111691324275	-0.0385925456617059	0.0885052063017562	0.0323824246431404	0.0169920366576329	0.130628846384837	-0.00874352016085273	0.129445600070387	0.0896910141687494	-0.0921262484280071	-0.0920461628804988	0.0805342288890966	-0.0455448765651981	0.0037192229541962	0.114231401655742	0.142582397019432	0.118952632016642	0.0289681695998991	-0.0324385286357939	-0.0437428871945334	0.026564744808139	0.00526126874787622	0.0390073407560315	0.124329991815326	-0.047030953974163	0.0436589230474072	-0.0220735945859605	-0.0789327685350879	0.0329444885076354	-0.0177248814849195	-0.0240416770265652	-0.0775086037886836	0.0165604491727971	-0.0867229127528582	-0.126768156032907	-0.0938929827663145	0.0447949050630634	0.0865595711012806	-0.03235598431671	-0.0293626739872307	-0.0942344553957781	-0.124768609052699	-0.0533201745894212	-0.0929391202085788	-0.112676373377382	0.0790208517821873	-0.0188022975689896	-0.121241755858748	0.109359325987181	0.0984845298347044	-0.0541389487169533	-0.0943359155860413	-0.0317555511032606	-0.0652523975683241	-0.0963670763710073	0.00445470794574839	-0.0944415007558196	-0.118213526166353	0.0636483013549433	0.0117703592504461	-0.037674383316656	-0.0728473673783294	0.0839787597933703	-0.0853655300273696	-0.0415620055084337	0.0520678360932956	0.0184809504586462	-0.0460475168737571	0.0842995009053836	0.0230608842530316	-0.0208206551530522	0.0115637998547774	-0.112472801252188	0.0455013025677497	0.137600417264226	0.0474625277107236	0.0610410824678441	0.0306005937098367	0.0331142886874775	0.0524515008999725
SV2	0.0251715567878866	0.110854491209963	0.105524035912101	-0.075598726101204	-0.0175469979370488	-0.122345347604098	0.0956907815238722	0.00515158361231152	0.0764446774983532	0.0389440013888031	0.0360331694061223	0.084769776751407	0.114368767544549	-0.0806452101450278	-0.0312205815853652	0.0226235657691283	-0.102918318088075	0.0187142200501307	0.00952047225732585	-0.140650445421083	0.0421047809737848	-0.07610381458962	0.0380741767511469	-0.119054904586288	0.00282950208385967	-0.0792345283918195	-0.134265861025844	0.0603882928098308	-0.00485050156263677	0.0561872656118301	0.0486024296665463	0.0276905134866264	0.0548017244067183	0.0516006912505158	0.087706418012707	-0.00172180225533204	-0.0648223265654039	-0.0381356643159711	0.0706945255980757	0.105674798761143	-0.011579193582371	-0.0913383577777813	-0.0716443504466928	0.0567989447148424	0.00299918410630532	0.0938044010343717	-0.105935743901105	-0.0166661833644697	-0.00230942041284989	0.0444029826956133	-0.00223386590819922	-0.033242188574267	0.0799540432870124	-0.0250691389891093	0.0386242344583145	-0.122928781024545	-0.0438096868751925	-0.0577237466577107	-0.00164959950520394	-0.0814048634880442	-0.0874375250540795	-0.108036290148182	-0.0597159720260218	-0.050221846182633	0.0459915363083806	-0.0279714886563423	0.057120602414968	0.148586905412551	-0.0590307922017426	-0.0508313355363748	-0.0442096790592259	-0.104537691409129	-0.0737121860854983	-0.0290193218467125	-0.00937584896167807	0.00843903948655856	-0.0913559039675853	0.113644664459989	0.0810691887327507	0.0842622959901444	0.0976519577897861	-0.072386410514445	0.150737226994894	-0.0483379827517293	0.0975046466643729	-0.0393889406489827	-0.0972583478499723	-0.0882823291454048	-0.0234028039535004	0.0398585888033606	0.0504994376760288	0.0529276473592218	0.0631650849186065	0.138478594541002
SV3	-0.0208343535755506	-0.144322276862411	-0.0779546673307726	0.133475941544038	-0.0450008909782366	0.0583927314479846	0.131631306086367	-0.0159094348225782	-0.0534115853712599	0.114586019695155	-0.0617294084450226	0.0159266690575378	-0.013492752426143	-0.0849706295422745	-0.0567653608670536	0.125751333426749	0.0346237907095507	-0.113202997881549	0.0199869656243261	-0.0287081380302481	-0.0281841659654534	0.128020151189537	-0.00862299343575701	-0.0687157817238254	-0.0525026635069209	0.132594645850456	-0.0996022595533341	-0.0914575113586954	-0.170437610614334	-0.167544058621317	0.0116033845881304	-0.103494790371331	0.0294616613182402	0.0283385039950878	0.00567879077197515	0.00593095968924121	0.0293965711479914	-0.0213471250695529	0.0863615907813415	0.0536279500666134	-0.0541784279353512	-0.0119962857725954	0.025155570641276	0.0788177032567101	-0.0687902985269153	0.00435738816463998	0.00688080351375666	-0.103870551958205	-0.0370387949626564	-0.0108948637282573	0.131869868205881	0.0241249199467492	-0.0430185646898135	-0.212163983595218	-0.0165753511111454	0.0313502852915346	0.0936818803944361	-0.0486637329114821	-0.141704768713187	-0.0331385167207348	-0.0498039995368772	-0.03313101203346	0.136140265322928	-0.0154909463673442	0.0575405815135738	0.0140482337473537	0.0171942772023715	-0.0148078778764008	-0.0682883088348559	-0.138025307284956	0.116666152703876	0.0265663873657955	-0.00448632223879388	0.0837896304118352	0.0697590558063316	0.0326637522516199	0.0435042938146613	0.0433179219608947	0.0354942199158368	-0.0806663288847639	-0.00505974143676428	0.0800933917736282	-0.011674113049594	-0.0585466258999272	-0.0132625193797676	-0.0355038984238254	-0.0532515867895068	-0.0680171807480375	-0.0433733816683925	0.0327727769921338	0.0283882484362474	0.0237513443421561	-0.00988603770901187	0.0536681509670469
SV4	-0.0862778105715449	0.0311432014789638	-0.0957769011073233	0.140853442354132	0.0956832403761921	-0.0469177732784883	-0.0764602157820651	-0.000132102197385004	-0.0394071814619229	0.0348191757539477	-0.0105898274831762	-0.130417228742823	-0.0239018830168693	-0.0392965668505906	0.00602303567048092	-0.0193631749579088	0.0571429397599633	0.0544623754029779	0.149017486261847	0.0163360464544516	-0.0705888331401697	0.0960622319694306	-0.0817944534205274	-0.106794472512096	-0.0236566343237634	0.0211607956552106	0.0148634064259658	-0.0649537429794211	0.0741450083683216	0.0682354224605383	0.00438348486505	-0.033290993519383	0.125250829638921	-0.0505250436592635	-0.179705915017884	-0.125530879837424	-0.0477857368561788	-0.115512366659283	-0.0366033672204524	-0.0783363956708995	-0.0318212743742265	-0.0102625052930833	-0.0839291766592402	0.0411497609911925	0.00193819954630289	0.0277690727480839	-0.14961523096112	0.00161008116914053	0.0243630849449058	0.103983443810833	0.0407215039505906	-0.111870607141131	-0.0347088854852318	0.11237706340163	0.107167777888463	0.0324431155885625	-0.061114897170165	-0.13556931316853	-0.00526436067568026	-0.00215676559031106	-0.0507378790803681	-0.086051457299787	-0.00920679510810628	-0.0266434424737223	0.0297181316792014	-0.0720575010466382	0.0425497328239681	-0.0365110181501515	-0.0711286687686072	0.056468807498695	0.00321538568452665	0.0956319554325972	0.0516185115735145	0.093885968162937	0.16646759417961	0.0906283526824868	-0.08857981685849	-0.00854964723606328	0.141031772374291	0.0304777784906934	-0.0392235274807908	0.0379116132123294	0.0205916683576288	0.00243374073615215	0.0538586020915545	0.104088178407413	-0.000856483200327608	0.00562680501467282	0.0357765260737767	-0.028856533856371	0.113252911837424	-0.132902521604895	0.0264366478548851	0.0473082846282464
SV5	0.0733848162660623	0.0772093669771599	0.0547739287670809	0.0346670171652248	0.0108301834632048	0.00295324262372115	0.127596265386752	0.0585976420025849	0.0735940573081975	0.113484224305618	0.0858592935727682	0.104798488458556	0.105791843173464	-0.0495554331795848	0.032497006334962	0.126753004903093	0.0107568287114883	0.128803999302527	0.0190693138724465	-0.0460535222841782	0.107161324667194	0.0499560306785848	0.0454590622847464	0.0192160933433948	0.0688326258047766	0.0177165515542265	-0.0135116329851276	0.0112162310504126	0.00239840505133355	-0.00727318577658878	-0.0421451717613712	0.0139211571701091	0.0840129470606268	0.042587495437184	0.00169238826931116	-0.0357274885167658	-0.0595628872373178	-0.00788687339208058	-0.110517680487489	-0.190652165319859	0.0452024004762126	-0.0889875147602583	-0.0863803134807688	-0.0897583859060739	0.000869425574216493	-0.181678390906804	0.0952969388907688	-0.0378789225507575	0.0113316959827256	-0.0323670396622752	-0.103685030405904	0.00439418500054377	0.071330852011274	-0.0240573680786443	-0.0261584746652092	-0.0713181590718258	-0.0483708475555891	-0.082388410860358	-0.0778895424378642	0.0143098329993946	0.00175365786075217	-0.0688294813147798	-0.0922076191138675	-0.000356328574881974	0.0724517997587265	-0.0559106190125025	0.0713373983193344	-0.164962718749266	0.064434479209274	0.00370709189412166	-0.00394948958466999	-0.055783568691363	-0.0317298467500618	0.100536014342697	-0.0221556335850777	0.0722652137530592	-0.0361104311036005	-0.0458412939240343	-0.0336552542579353	-0.148893080586767	-0.206762929704361	-0.103172917911669	-0.135872981510666	0.00882264046756276	-0.00492107200085109	0.0617908253577038	-0.00690233607406645	0.00865173705802584	-0.0104634351349309	-0.0167519401474662	-0.0423881613669527	0.0862503207116659	0.00384713165708844	0.0338629355005578
SV6	-0.0525499260930772	0.0578173296166037	0.0400180268251967	-0.00809612383279665	0.161617601411142	-0.0271310474072457	-0.113851320979684	0.0552282694377749	0.0977483263659745	0.0137940483902167	0.0262797729802272	-0.0958684677675256	-0.0639227127775543	0.0131439455123643	0.0609284799292993	-0.091608687083084	-0.0145470157744812	-0.107394976219276	0.0767847096491273	-0.11654222387525	0.0432441535098912	0.00767193824872728	-0.0689981568018231	0.0287773293966454	0.0408820084294085	-0.0135657879049413	0.0965083398284714	0.103446909011619	-0.109340347973027	0.0167606156066863	-0.0208832385352632	0.0651128799508094	0.0560473433497439	0.125955571716687	0.0335428704785496	-0.0234708249107405	0.087375065155452	0.0992317936473761	-0.0315054889752102	-0.019194673060468	-0.129996375564562	0.0519354533980781	0.0340166666430586	0.111392169880872	0.0945829168861898	-0.0252362323782684	0.0561680068568575	-0.105264341789621	-0.0145690245196996	0.0480264108144686	0.0807206015678204	0.024738059274461	0.139674517291648	-0.0736629657850951	0.0394699627700978	-0.00119562454059096	-0.0145532301518711	-0.0402420999503822	-0.0662172058307667	-0.0166552648906449	0.117582619533822	-0.0182581223296882	0.0231818354099975	0.0508564678920427	0.0298098126612213	-0.0643330649333637	0.0305980314627057	-0.0873145229351192	0.0498775189848716	-0.0681260744250593	-0.108507453206789	0.0525868103506643	0.0453138407487477	-0.159928134908677	-0.0186738189084647	0.00807213668539791	-0.0784900709066902	0.0180947615822103	-0.00131372544410875	-0.104890788564541	0.0577031446427061	0.0224072072591954	0.0136712791473395	0.167363335561109	0.00684778278387666	-0.112580651677235	0.0246022458863033	-0.128072394524389	-0.118583484186199	-0.0746861690241769	0.132259615108295	0.00713567479399776	-0.0818463724095837	-0.0881613935130952
SV7	-0.0181131308304691	0.028839797929382	0.028971237553637	-0.0214752794134454	0.0773369009461744	0.0350910684210444	0.00572224977709912	0.0406225732628809	-0.0585895706157499	-0.04822759807096	0.0151579218566272	-0.0333730819399692	0.0443051011472491	-0.159435279467687	-0.0503886768775759	0.0101914739299355	-0.0244367111799252	-0.00962126216132489	-0.0784755609357685	-0.00127594517354384	0.0375290186445201	-0.0102036347376448	-0.0180592902872995	-0.0846769324607346	-0.0401207913160712	-0.014523236635195	0.00768799137978937	-0.0645861660192791	0.0885157335344925	0.0923770527748762	0.056644188266669	0.123332593008478	-0.0599751533744355	-0.0677296839191676	-0.0492182525751383	0.0173782263442147	0.0301341729987567	0.0986862735707353	-0.105644209545611	-0.0815554206723602	-0.146127875875644	0.00343772937503637	0.0731154035673995	-0.169979246492167	-0.0515457864924273	-0.0445773384846873	0.0269921149293195	0.00335180301698189	-0.0871450549883168	0.0976742732188941	-0.111003531285103	-0.0818291915303184	-0.000121108501750922	-0.0476902335949576	0.090166519443747	0.112974356761634	0.108459325446129	0.0244378530147459	-0.0347384774158336	-0.0706187303310744	-0.00511127930407813	0.0111078742848667	-0.0693169578797082	-0.108551636782261	-0.0119190667722795	-0.00032418834006364	-0.0677811816485436	-0.0668098879677035	0.0116414800756984	-0.132066732471563	0.0723462429261474	0.157917110488811	-0.109758665074447	-0.0253229273125693	0.0315184559874695	-0.0752652063038595	0.0772790189875057	0.011235525918862	0.0778727063799029	0.0404993507207036	-0.14602154260609	0.00944506042574712	0.0622024980321723	0.0621931475333167	-0.0040173196084731	0.000880198790844849	-0.0338313420594966	-0.128379424646548	0.0297292702330339	-0.0367344520432776	-0.0759917723616784	0.0480414445722772	0.229870100806842	0.0333883755588379
